Hora,piPTras@,piQMtras@,piQmtras@
00:00,1,1.5,1.5
00:15,1,1.5,1.5
00:30,1,1.5,1.5
00:45,1,1.5,1.5
01:00,1,1.5,1.5
01:15,1,1.5,1.5
01:30,1,1.5,1.5
01:45,1,1.5,1.5
02:00,1,1.5,1.5
02:15,1,1.5,1.5
02:30,1,1.5,1.5
02:45,1,1.5,1.5
03:00,1,1.5,1.5
03:15,1,1.5,1.5
03:30,1,1.5,1.5
03:45,1,1.5,1.5
04:00,1,1.5,1.5
04:15,1,1.5,1.5
04:30,1,1.5,1.5
04:45,1,1.5,1.5
05:00,1,1.5,1.5
05:15,1,1.5,1.5
05:30,1,1.5,1.5
05:45,1,1.5,1.5
06:00,1,1.5,1.5
06:15,1,1.5,1.5
06:30,1,1.5,1.5
06:45,1,1.5,1.5
07:00,1,1.5,1.5
07:15,1,1.5,1.5
07:30,1,1.5,1.5
07:45,1,1.5,1.5
08:00,1,1.5,1.5
08:15,1,1.5,1.5
08:30,1,1.5,1.5
08:45,1,1.5,1.5
09:00,1,1.5,1.5
09:15,1,1.5,1.5
09:30,1,1.5,1.5
09:45,1,1.5,1.5
10:00,1,1.5,1.5
10:15,1,1.5,1.5
10:30,1,1.5,1.5
10:45,1,1.5,1.5
11:00,1,1.5,1.5
11:15,1,1.5,1.5
11:30,1,1.5,1.5
11:45,1,1.5,1.5
12:00,1,1.5,1.5
12:15,1,1.5,1.5
12:30,1,1.5,1.5
12:45,1,1.5,1.5
13:00,1,1.5,1.5
13:15,1,1.5,1.5
13:30,1,1.5,1.5
13:45,1,1.5,1.5
14:00,1,1.5,1.5
14:15,1,1.5,1.5
14:30,1,1.5,1.5
14:45,1,1.5,1.5
15:00,1,1.5,1.5
15:15,1,1.5,1.5
15:30,1,1.5,1.5
15:45,1,1.5,1.5
16:00,1,1.5,1.5
16:15,1,1.5,1.5
16:30,1,1.5,1.5
16:45,1,1.5,1.5
17:00,1,1.5,1.5
17:15,1,1.5,1.5
17:30,1,1.5,1.5
17:45,1,1.5,1.5
18:00,1,1.5,1.5
18:15,1,1.5,1.5
18:30,1,1.5,1.5
18:45,1,1.5,1.5
19:00,1.5,2.25,2.25
19:15,1.5,2.25,2.25
19:30,1.5,2.25,2.25
19:45,1.5,2.25,2.25
20:00,1.5,2.25,2.25
20:15,1.5,2.25,2.25
20:30,1.5,2.25,2.25
20:45,1.5,2.25,2.25
21:00,1.5,2.25,2.25
21:15,1.5,2.25,2.25
21:30,1.5,2.25,2.25
21:45,1.5,2.25,2.25
22:00,1.5,2.25,2.25
22:15,1.5,2.25,2.25
22:30,1.5,2.25,2.25
22:45,1.5,2.25,2.25
23:00,1,1.5,1.5
23:15,1,1.5,1.5
23:30,1,1.5,1.5
23:45,1,1.5,1.5
