Hora,P_mec@,n_@
00:00,0.9456,-0.08
00:15,0.9598,-0.08
00:30,0.897,-0.08
00:45,0.7553,-0.08
01:00,0.8138,-0.08
01:15,0.7189,-0.08
01:30,0.6558,-0.08
01:45,0.6916,-0.08
02:00,0.6544,-0.08
02:15,0.7257,-0.08
02:30,0.8252,-0.08
02:45,0.8607,-0.08
03:00,0.8499,-0.08
03:15,0.7895,-0.08
03:30,0.7368,-0.08
03:45,0.6535,-0.08
04:00,0.7262,-0.08
04:15,0.6638,-0.08
04:30,0.552,-0.08
04:45,0.6717,-0.08
05:00,0.7368,-0.08
05:15,0.8811,-0.08
05:30,0.7914,-0.08
05:45,0.8735,-0.08
06:00,0.6291,-0.08
06:15,0.663,-0.08
06:30,0.7112,-0.08
06:45,0.7203,-0.08
07:00,0.6715,-0.08
07:15,0.6682,-0.08
07:30,0.5545,-0.08
07:45,0.6163,-0.08
08:00,0.7052,-0.08
08:15,0.692,-0.08
08:30,0.7112,-0.08
08:45,0.6672,-0.08
09:00,0.6333,-0.08
09:15,0.501,-0.08
09:30,0.4286,0.1327
09:45,0.432,0.1304
10:00,0.4073,0.1473
10:15,0.361,0.1809
10:30,0.275,0.2519
10:45,0.228,0.2973
11:00,0.1543,0.383
11:15,0.1466,0.3935
11:30,0.1385,0.4049
11:45,0.1397,0.4031
12:00,0.1292,0.4185
12:15,0.1049,0.4574
12:30,0.104,0.4591
12:45,0,0
13:00,0,0
13:15,0,0
13:30,0,0
13:45,0,0
14:00,0,0
14:15,0,0
14:30,0,0
14:45,0.0837,0.4967
15:00,0.1243,0.4259
15:15,0.1031,0.4606
15:30,0.0956,0.4741
15:45,0.1823,0.3478
16:00,0.1753,0.3562
16:15,0.1289,0.4189
16:30,0.0997,0.4666
16:45,0.0949,0.4754
17:00,0.1156,0.4397
17:15,0.1168,0.4377
17:30,0.1516,0.3866
17:45,0.177,0.3541
18:00,0.2381,0.287
18:15,0.2899,0.2387
18:30,0.3202,0.213
18:45,0.3615,0.1805
19:00,0.3594,0.1821
19:15,0.4682,0.1067
19:30,0.4965,-0.08
19:45,0.5013,-0.08
20:00,0.4582,0.1132
20:15,0.4112,0.1446
20:30,0.5674,-0.08
20:45,0.6846,-0.08
21:00,0.4236,0.1361
21:15,0.2584,0.2673
21:30,0.1973,0.3304
21:45,0.2053,0.3214
22:00,0.365,0.1779
22:15,0.3864,0.1622
22:30,0.4195,0.1389
22:45,0.3932,0.1572
23:00,0.3566,0.1843
23:15,0.5062,-0.08
23:30,0.274,0.2529
23:45,0.3195,0.2136
