Hora,pPvg@
00:00,0.0984
00:15,0.0989
00:30,0.1033
00:45,0.0984
01:00,0.0964
01:15,0.0945
01:30,0.0906
01:45,0.0915
02:00,0.0876
02:15,0.0813
02:30,0.0769
02:45,0.073
03:00,0.0711
03:15,0.0648
03:30,0.0624
03:45,0.0624
04:00,0.0615
04:15,0.061
04:30,0.0586
04:45,0.06
05:00,0.0605
05:15,0.0576
05:30,0.0605
05:45,0.061
06:00,0.0596
06:15,0.0629
06:30,0.0615
06:45,0.06
07:00,0.0586
07:15,0.0548
07:30,0.05
07:45,0.0538
08:00,0.0586
08:15,0.0701
08:30,0.0808
08:45,0.0906
09:00,0.1023
09:15,0.1138
09:30,0.1272
09:45,0.1378
10:00,0.1485
10:15,0.1608
10:30,0.1721
10:45,0.1825
11:00,0.1929
11:15,0.1998
11:30,0.2098
11:45,0.2172
12:00,0.2247
12:15,0.2365
12:30,0.2397
12:45,0.2441
13:00,0.2495
13:15,0.25
13:30,0.2549
13:45,0.2615
14:00,0.2626
14:15,0.2681
14:30,0.2736
14:45,0.2714
15:00,0.2626
15:15,0.2692
15:30,0.2714
15:45,0.2604
16:00,0.2593
16:15,0.255
16:30,0.2333
16:45,0.2178
17:00,0.214
17:15,0.2035
17:30,0.1887
17:45,0.1685
18:00,0.1597
18:15,0.1495
18:30,0.1475
18:45,0.1434
19:00,0.1373
19:15,0.1308
19:30,0.1272
19:45,0.1277
20:00,0.1353
20:15,0.1353
20:30,0.1363
20:45,0.1373
21:00,0.1373
21:15,0.1343
21:30,0.1293
21:45,0.1172
22:00,0.1162
22:15,0.1167
22:30,0.1252
22:45,0.1277
23:00,0.1242
23:15,0.1267
23:30,0.1242
23:45,0.1172
