Hora,pgLow@,pgTop@,qgLow@,qgTop@
00:00,-10,10,-10,10
00:15,-10,10,-10,10
00:30,-10,10,-10,10
00:45,-10,10,-10,10
01:00,-10,10,-10,10
01:15,-10,10,-10,10
01:30,-10,10,-10,10
01:45,-10,10,-10,10
02:00,-10,10,-10,10
02:15,-10,10,-10,10
02:30,-10,10,-10,10
02:45,-10,10,-10,10
03:00,-10,10,-10,10
03:15,-10,10,-10,10
03:30,-10,10,-10,10
03:45,-10,10,-10,10
04:00,-10,10,-10,10
04:15,-10,10,-10,10
04:30,-10,10,-10,10
04:45,-10,10,-10,10
05:00,-10,10,-10,10
05:15,-10,10,-10,10
05:30,-10,10,-10,10
05:45,-10,10,-10,10
06:00,-10,10,-10,10
06:15,-10,10,-10,10
06:30,-10,10,-10,10
06:45,-10,10,-10,10
07:00,-10,10,-10,10
07:15,-10,10,-10,10
07:30,-10,10,-10,10
07:45,-10,10,-10,10
08:00,-10,10,-10,10
08:15,-10,10,-10,10
08:30,-10,10,-10,10
08:45,-10,10,-10,10
09:00,-10,10,-10,10
09:15,-10,10,-10,10
09:30,-10,10,-10,10
09:45,-10,10,-10,10
10:00,-10,10,-10,10
10:15,-10,10,-10,10
10:30,-10,10,-10,10
10:45,-10,10,-10,10
11:00,-10,10,-10,10
11:15,-10,10,-10,10
11:30,-10,10,-10,10
11:45,-10,10,-10,10
12:00,-10,10,-10,10
12:15,-10,10,-10,10
12:30,-10,10,-10,10
12:45,-10,10,-10,10
13:00,-10,10,-10,10
13:15,-10,10,-10,10
13:30,-10,10,-10,10
13:45,-10,10,-10,10
14:00,-10,10,-10,10
14:15,-10,10,-10,10
14:30,-10,10,-10,10
14:45,-10,10,-10,10
15:00,-10,10,-10,10
15:15,-10,10,-10,10
15:30,-10,10,-10,10
15:45,-10,10,-10,10
16:00,-10,10,-10,10
16:15,-10,10,-10,10
16:30,-10,10,-10,10
16:45,-10,10,-10,10
17:00,-10,10,-10,10
17:15,-10,10,-10,10
17:30,-10,10,-10,10
17:45,-10,10,-10,10
18:00,-10,10,-10,10
18:15,-10,10,-10,10
18:30,-10,10,-10,10
18:45,-10,10,-10,10
19:00,-10,10,-10,10
19:15,-10,10,-10,10
19:30,-10,10,-10,10
19:45,-10,10,-10,10
20:00,-10,10,-10,10
20:15,-10,10,-10,10
20:30,-10,10,-10,10
20:45,-10,10,-10,10
21:00,-10,10,-10,10
21:15,-10,10,-10,10
21:30,-10,10,-10,10
21:45,-10,10,-10,10
22:00,-10,10,-10,10
22:15,-10,10,-10,10
22:30,-10,10,-10,10
22:45,-10,10,-10,10
23:00,-10,10,-10,10
23:15,-10,10,-10,10
23:30,-10,10,-10,10
23:45,-10,10,-10,10
